TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,COLUMN_KEY
we_respuestas_usuario,id_respuesta,int,NULL,PRI
we_respuestas_usuario,id_usuario,int,NULL,PRI
we_respuestas_usuario,num_intento,int,NULL,PRI
we_respuestas_usuario,created_at,timestamp,NULL,
we_respuestas_usuario,fecha,date,NULL,
we_respuestas_usuario,updated_at,timestamp,NULL,
we_usuario_preguntas,fecha,date,NULL,PRI
we_usuario_preguntas,id_pregunta,int,NULL,PRI
we_usuario_preguntas,id_usuario,int,NULL,PRI
we_usuario_preguntas,num_intento,int,NULL,PRI
we_usuario_preguntas,created_at,timestamp,NULL,
we_usuario_preguntas,puntuacion,float,NULL,
we_usuario_preguntas,texto,varchar,2500,
we_usuario_preguntas,updated_at,timestamp,NULL,
zonas_horarias,nombre_zona,varchar,255,UNI
zonas_horarias,id_zona_horaria,int,NULL,PRI
zonas_horarias,continente,varchar,255,
zonas_horarias,created_at,timestamp,NULL,
zonas_horarias,estado,int,NULL,
zonas_horarias,pais,varchar,255,
zonas_horarias,updated_at,timestamp,NULL,
